Index,area,county,longitude,latitude,price,bathrooms,beds,ber_classification,property_type,surface_area,model
85,Riverchapel,Wexford,-6.230055,52.636805,170000,3,4,D1,end-of-terrace,98,309396.4097
86,Duncannon,Wexford,-6.931377,52.220613,187500,1,2,D1,terraced,70,303673.0501
87,Duncannon,Wexford,-6.921045,52.220941,225000,2,3,D1,detached,110,311216.8265
88,Kilrane,Wexford,-6.333507,52.236424,169000,2,3,E2,detached,88,307693.4603
89,Ballymoney,Wexford,-6.211334,52.683489,255000,3,3,C3,detached,130,318693.4064
90,Gorey,Wexford,-6.291312,52.687971,595000,3,5,C1,detached,291,355851.3112
91,Gorey,Wexford,-6.456792,52.692903,330000,1,5,C2,detached,160,325355.779
92,Gorey,Wexford,-6.183958,52.761387,425000,4,4,C1,detached,194.8,332663.8387
93,The Ballagh,Wexford,-6.449292,52.4989,210000,1,3,D1,detached,,287611.6394
94,Wexford Town,Wexford,-6.4929468,52.3347525,249950,3,4,B3,detached,131.4,315851.3313
95,Wexford Town,Wexford,-6.466689,52.339025,295000,4,4,E2,detached,,282307.3239
96,Blackwater,Wexford,-6.3314,52.440742,199000,1,2,G,detached,101,313931.8881
97,Taghmon,Wexford,-6.655278,52.323474,99000,1,5,E2,detached,,284030.344
98,Bunclody,Wexford,-6.62212,52.640654,245000,3,4,C2,detached,152.93,321734.3168
99,Gorey,Wexford,-6.283931,52.677345,350000,3,4,D2,detached,132,317752.8504
100,Wexford Town,Wexford,-6.495979,52.332286,185000,3,3,D1,semi-detached,89,306546.0694
101,Enniscorthy,Wexford,-6.586072,52.512534,135000,3,2,B3,terraced,92,308760.7447
102,Crossabeg,Wexford,-6.6152212,52.4049399,375000,3,5,B3,detached,270,348736.7128
103,Crossabeg,Wexford,-6.51608,52.392574,244000,3,4,C2,detached,125,314381.4068
104,Gorey,Wexford,-6.27413,52.677382,235000,2,4,B2,terraced,137,320204.0178
105,New Ross,Wexford,-6.937867,52.406916,198500,3,4,D1,detached,125,313090.8648
106,Killinick,Wexford,-6.470489,52.271665,745000,2,5,E2,detached,,283265.7439
107,Wexford Town,Wexford,-6.49057,52.341717,299500,5,4,E2,detached,,281055.2429
108,Wexford Town,Wexford,-6.489624,52.336984,199000,2,4,C3,semi-detached,125,315473.1652
109,Fethard-On-Sea,Wexford,-6.846412,52.220607,245000,3,7,E1,detached,221.1,332968.9001
111,Rosslare Harbour,Wexford,-6.34138,52.249654,675000,10,9,C1,detached,371.6,361169.8562
112,Gorey,Wexford,-6.277494,52.678123,164000,2,2,D1,terraced,76,307498.7208
113,Gorey,Wexford,-6.481112,52.692861,110000,1,1,G,detached,51,303095.5995
114,Gorey,Wexford,-6.3164046,52.5996345,995000,5,5,C1,detached,397,379302.4661
115,Castlebridge,Wexford,-6.448699,52.378932,375000,3,4,C2,detached,,283676.42
116,Gorey,Wexford,-6.287675,52.675986,200000,1,3,F,terraced,86,309929.661
117,Wexford Town,Wexford,-6.478672,52.342915,295000,4,5,C3,detached,280,350256.7514
118,Ballycanew,Wexford,-6.347178,52.602899,379000,2,4,C2,detached,150,322946.3734
119,Killinick,Wexford,-6.435606,52.258428,195000,2,3,,detached,,285704.0934
120,Enniscorthy,Wexford,-6.57042,52.504682,220000,2,4,G,semi-detached,,284876.3216
121,Kilmuckridge,Wexford,-6.282371,52.515062,143000,2,2,C3,semi-detached,79.02,307709.8611
122,Kilmuckridge,Wexford,-6.338317,52.517508,570000,4,5,C1,detached,345,367312.4747
123,Enniscorthy,Wexford,-6.565057,52.51231,185000,1,4,G,detached,,286102.6068
124,Taghmon,Wexford,-6.653558,52.322464,99000,1,3,G,semi-detached,,286402.5761
